name,team,contact,power,discipline,speed,defense,throwing,stamina,durability,mentality,talent,target_avg,target_obp,target_slg,target_ops,target_hr_rate,target_bb_rate,target_k_rate,mc1000_avg,mc1000_obp,mc1000_slg,mc1000_ops,mc1000_hr_rate,mc1000_bb_rate,mc1000_k_rate,fit_error,fit_status,source_season,simulation_model
박성한,SSG 랜더스,130,88,141,62,93,100,102,100,100,100,0.3350,0.4300,0.4300,0.8600,0.007547,0.141509,0.137736,0.3203,0.4220,0.4194,0.8413,0.012502,0.145740,0.112230,5.365,good,2026,pitch_by_pitch_hitting_calibration_v3
박해민,LG 트윈스,127,68,114,133,104,100,102,100,100,100,0.2830,0.3690,0.3560,0.7250,0.008368,0.098326,0.110879,0.3051,0.3841,0.3572,0.7413,0.002940,0.110095,0.125843,6.482,good,2026,pitch_by_pitch_hitting_calibration_v3
오스틴,LG 트윈스,117,116,118,60,92,100,102,100,100,100,0.3410,0.4270,0.6630,1.0900,0.068053,0.117202,0.143667,0.3568,0.4387,0.7030,1.1417,0.070260,0.123315,0.142008,5.092,good,2026,pitch_by_pitch_hitting_calibration_v3
최지훈,SSG 랜더스,110,96,97,170,103,100,102,100,100,100,0.2460,0.3010,0.4040,0.7050,0.024490,0.069388,0.155102,0.2777,0.3297,0.4280,0.7577,0.022763,0.068382,0.175637,11.018,usable,2026,pitch_by_pitch_hitting_calibration_v3
정준재,SSG 랜더스,119,79,107,88,101,100,102,100,100,100,0.2740,0.3480,0.3420,0.6900,0.001996,0.093812,0.143713,0.2885,0.3580,0.3514,0.7093,0.006527,0.093857,0.144840,2.085,excellent,2026,pitch_by_pitch_hitting_calibration_v3
디아즈,삼성 라이온즈,112,102,115,77,91,100,102,100,100,100,0.2990,0.3770,0.4980,0.8750,0.040000,0.112381,0.167619,0.2957,0.3815,0.4838,0.8653,0.033003,0.118045,0.157243,2.678,excellent,2026,pitch_by_pitch_hitting_calibration_v3
레이예스,롯데 자이언츠,158,97,101,60,91,100,102,100,100,100,0.3550,0.4070,0.5220,0.9290,0.027559,0.080709,0.112205,0.3659,0.4137,0.5340,0.9477,0.026625,0.071983,0.112572,1.843,excellent,2026,pitch_by_pitch_hitting_calibration_v3
김도영,KIA 타이거즈,99,118,135,95,95,100,102,100,100,100,0.3020,0.4050,0.6330,1.0380,0.076023,0.140351,0.167641,0.3149,0.4276,0.6518,1.0795,0.067043,0.160142,0.186305,11.700,usable,2026,pitch_by_pitch_hitting_calibration_v3
박찬호,두산 베어스,130,77,108,99,104,100,102,100,100,100,0.2930,0.3610,0.3870,0.7480,0.009881,0.094862,0.138340,0.3133,0.3798,0.3766,0.7563,0.005688,0.093172,0.126608,4.566,good,2026,pitch_by_pitch_hitting_calibration_v3
페라자,한화 이글스,99,107,158,102,96,100,102,100,100,100,0.2890,0.4090,0.5050,0.9140,0.040900,0.165644,0.192229,0.2789,0.4039,0.5042,0.9081,0.039997,0.169277,0.180015,1.427,excellent,2026,pitch_by_pitch_hitting_calibration_v3
정수빈,두산 베어스,114,88,110,115,103,100,102,100,100,100,0.2590,0.3390,0.3620,0.7010,0.015590,0.097996,0.151448,0.2822,0.3597,0.3828,0.7424,0.012378,0.104118,0.153345,5.678,good,2026,pitch_by_pitch_hitting_calibration_v3
김호령,KIA 타이거즈,98,101,95,128,102,100,102,100,100,100,0.2740,0.3170,0.4270,0.7440,0.026915,0.057971,0.262940,0.2506,0.3037,0.4181,0.7219,0.030123,0.067193,0.221985,12.396,usable,2026,pitch_by_pitch_hitting_calibration_v3
구본혁,LG 트윈스,124,62,99,57,93,100,102,100,100,100,0.2850,0.3430,0.3130,0.6560,0.000000,0.071918,0.123288,0.2980,0.3496,0.3264,0.6761,0.002063,0.069857,0.139105,2.598,excellent,2026,pitch_by_pitch_hitting_calibration_v3
