rank,avg_fastball_kmh,season,scope,source_url
80,145.8,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
81,145.3,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
82,139.6,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
83,143.7,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
84,146.7,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
85,147.2,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
86,151.1,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
87,148.3,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
88,143.7,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
89,150.4,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
90,146.0,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
91,151.7,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
92,152.7,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
93,146.8,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
94,141.1,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
95,144.2,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
96,144.7,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
97,145.9,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
98,143.0,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
99,137.5,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
100,150.0,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
101,141.5,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
102,136.8,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
103,147.2,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
104,145.9,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
105,142.4,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
106,141.4,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
107,142.5,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
108,143.2,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
109,147.3,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
