model,reference_raw,slope,raw_speed,gameplay_speed,AVG,OBP,SLG,BB,K,HR,1B,2B,3B,BABIP,OUT,SB_attempt_rate_per_onbase,SB_success,SB_attempts_per_600PA,SB_per_600PA,CS_per_600PA,first_to_third,second_to_home,DP_avoidance,running_runs_per_PA,total_runs_proxy_per_PA
A_keep_raw_scale,98.10803333333332,0.4,60,84.75678666666667,0.2625353337682105,0.32168,0.39308545335942596,0.0802,0.21486,0.02796,0.17768,0.03548,0.00036,0.31540075039144433,0.67166,0.02060867320134002,0.6481856833601677,3.2616638137402725,2.1141637880003694,1.1475000257399033,0.4129656120073246,0.4926323697967767,0.5410610383936876,0.020592061317899948,0.016430261317899927
A_keep_raw_scale,98.10803333333332,0.4,70,88.75678666666667,0.2587272568991033,0.3188,0.38560981979629144,0.08104,0.21556,0.02666,0.1752,0.03518,0.00072,0.3119366374087537,0.67422,0.028825937434084792,0.6725717083526582,4.521336756161225,3.040923186129022,1.480413570032204,0.4311331498908957,0.5131820398328949,0.5624592791613339,0.021502942439843648,0.014099942439843628
A_keep_raw_scale,98.10803333333332,0.4,80,92.75678666666667,0.26151699478928203,0.32256,0.3954259053349903,0.08266,0.20752,0.02788,0.17398,0.03688,0.00116,0.3109071179282635,0.67026,0.03947393308480097,0.6972803715158845,6.264494233070034,4.36810886619419,1.8963853668758446,0.449590647950702,0.533929191824609,0.5840989214814464,0.022498869963393463,0.019639869963393463
A_keep_raw_scale,98.10803333333332,0.4,90,96.75678666666667,0.26050602671299816,0.319,0.3984580301878597,0.0791,0.21442,0.02832,0.1712,0.03868,0.0017,0.31199127049663794,0.67424,0.05086107455754727,0.7216109251994977,7.982543929657931,5.760290910526093,2.2222530191318377,0.4681538348294491,0.5546300370718398,0.6056819108519976,0.023578257609301635,0.019771857609301592
A_keep_raw_scale,98.10803333333332,0.4,100,100.75678666666667,0.26285602554911036,0.3214,0.4007908057963458,0.07942,0.21336,0.02764,0.17238,0.03986,0.0021,0.31540068866064336,0.67214,0.06275552468116616,0.7450885810713688,9.923455811203189,7.393853609693813,2.5296022015093764,0.48663418263557146,0.5750429504640933,0.6269132923252121,0.02473887677599651,0.022564076775996506
A_keep_raw_scale,98.10803333333332,0.4,110,104.75678666666667,0.2614161943847306,0.31972,0.41358869129046966,0.07894,0.21452,0.02832,0.15968,0.05036,0.00242,0.31326118368670935,0.6739,0.0749726677899076,0.7672649439908694,11.793368582128318,9.048638284630362,2.744730297497955,0.5048465028136951,0.594939599218084,0.6475170792615947,0.025948657967879544,0.02666205796787949
A_keep_raw_scale,98.10803333333332,0.4,120,108.75678666666667,0.26375637171611555,0.32404,0.4253910164248682,0.08188,0.21156,0.0279,0.15192,0.05998,0.00236,0.3157103704358589,0.66952,0.08728393726844426,0.787774424576046,13.915475619973607,10.962255799226705,2.9532198207469023,0.5226162593770604,0.6141147901735565,0.6672499914007742,0.02721775199135977,0.03328695199135974
A_keep_raw_scale,98.10803333333332,0.4,130,112.75678666666667,0.26354198340645496,0.32184,0.4286955388558273,0.07916,0.21,0.02602,0.1453,0.0687,0.00266,0.31637510586723516,0.67186,0.09942038873709984,0.8063660178112114,15.742749292284923,12.69441805622006,3.048331236064863,0.5397859974456561,0.6323941736169616,0.6859116868115298,0.028466472848291714,0.03439147284829173
A_keep_raw_scale,98.10803333333332,0.4,140,116.75678666666667,0.2625536457312158,0.32298,0.43851164411912075,0.08194,0.2142,0.02758,0.1377,0.07272,0.00304,0.3156384929319217,0.67036,0.11110313478711448,0.8229110203155069,17.65497251298278,14.528471444300887,3.1265010686818915,0.5562204085677966,0.6496392715065619,0.7033507334004223,0.02971585579917002,0.03912505579917
A_keep_raw_scale,98.10803333333332,0.4,150,120.75678666666667,0.26549537419102637,0.32358,0.4398210485167007,0.07908,0.21204,0.0265,0.14048,0.074,0.00352,0.31947008997919046,0.66986,0.12207922578426049,0.837392574756659,19.43517877260134,16.2748743932446,3.1603043793567407,0.5718097352292981,0.6657496755290202,0.7194662463063939,0.030917821915862592,0.040834421915862534
A_keep_raw_scale,98.10803333333332,0.4,160,124.75678666666667,0.2635761877803423,0.32358,0.43866219570613596,0.08148,0.21378,0.027,0.13824,0.0739,0.00296,0.3173783456782837,0.66976,0.13215031276196865,0.8498841127418973,21.038509516130766,17.88029499352876,3.158214522602006,0.5864714198660451,0.6806626091504169,0.734205703666858,0.03204632329736181,0.041740723297361775
A_keep_raw_scale,98.10803333333332,0.4,180,132.75678666666667,0.2634087940792338,0.32322,0.4392903787548977,0.0812,0.21056,0.02736,0.13854,0.07272,0.0034,0.31526847608976616,0.67006,0.14844792115397157,0.8695190292354298,23.60681784109025,20.52657733252242,3.0802405085678317,0.612816142725153,0.7068158361019221,0.7595557013525871,0.0340103973449046,0.04373559734490462
A_keep_raw_scale,98.10803333333332,0.6,60,77.13518,0.2618133426414765,0.32326,0.38882586500283606,0.08324,0.20708,0.02808,0.18006,0.03156,0.00032,0.31094483568075115,0.66936,0.009931837584002063,0.6058396544290489,1.5795983821630175,0.9569833379863272,0.6226150441766902,0.37975992206068054,0.4548531418488725,0.5019611650171848,0.019046624482682267,0.014694424482682239
A_keep_raw_scale,98.10803333333332,0.6,70,83.13518,0.25995829894444206,0.31854,0.3918378871465184,0.07916,0.21332,0.02844,0.17532,0.03512,0.0005,0.3106261412499264,0.6747,0.017842170585878402,0.6386633600214634,2.796254949065448,1.7858655812467847,1.0103893678186628,0.40572307304370847,0.48441190844270965,0.5325208096454137,0.0202452886188298,0.014354088618829815
A_keep_raw_scale,98.10803333333332,0.6,80,89.13518,0.26029600330341424,0.31928,0.389933279725295,0.07974,0.21452,0.02764,0.17646,0.0345,0.00094,0.3124907830703436,0.67408,0.02976203685328175,0.6749099367389997,4.675192178245773,3.1553336572625206,1.519858520983252,0.4328695962173269,0.5151400044120182,0.5645006243314513,0.021593130076570433,0.015472530076570429
A_keep_raw_scale,98.10803333333332,0.6,90,95.13518,0.2575498081384005,0.31506,0.388731111930106,0.07746,0.21262,0.02682,0.17176,0.03748,0.00154,0.30856389986824767,0.67858,0.04617386775255923,0.711823147376253,7.157389076867685,5.094795219692369,2.0625938571753157,0.4606276202095136,0.5462591227378693,0.5969581162135098,0.023127119136291376,0.014660519136291357
A_keep_raw_scale,98.10803333333332,0.6,100,101.13518,0.26183941097024355,0.32228,0.40404304448220274,0.08188,0.21156,0.0279,0.1676,0.04294,0.00196,0.31311702472519376,0.67128,0.06390061820742077,0.747248623758983,10.132194488056683,7.57126838685871,2.560926101197973,0.4883713442012236,0.5769506553445333,0.6288933354941442,0.024853711970630403,0.024090111970630372
A_keep_raw_scale,98.10803333333332,0.6,110,107.13518,0.262282264019808,0.32068,0.41227574822987706,0.07916,0.21,0.02602,0.15776,0.05542,0.00232,0.31468123010426097,0.67302,0.0822981955672903,0.7796795987905863,12.98456159442318,10.123797774411521,2.8607638200116585,0.515476248704944,0.6064400256001707,0.6593690902219405,0.026692258304473974,0.02743125830447399
