raw_speed,gameplay_speed,steal_attempt,steal_success,first_to_third,second_to_home,dp_avoidance,running_value
60,60.06890666666666,0.002712888261081811,0.5273722917397629,0.3160257447230497,0.38231584213680175,0.42872311762842397,0.01603155093650929
70,68.06890666666666,0.00974590863291769,0.5549737268206038,0.3437867578844098,0.4138303216410055,0.460143271018031,0.01678409870921997
80,76.06890666666666,0.029591349103600176,0.5906159721673643,0.37530757718805774,0.44977528138937795,0.49674150454788757,0.01736673419147488
90,84.06890666666666,0.06073093787777967,0.6333854750334555,0.40988340336656726,0.4891357035352697,0.5374266440441285,0.018890736407654943
100,92.06890666666666,0.09030311984693543,0.6804115254233603,0.4464037660827652,0.5303577844059657,0.5803732441880481,0.02239234676471634
110,100.06890666666666,0.11654077173667127,0.7273982330502241,0.48347014612476996,0.5715631924679232,0.623299486622537,0.027514595110826334
120,108.06890666666666,0.14187986621359983,0.7700637387507615,0.519598992721787,0.6108765986671969,0.6639278191386061,0.03364938616659233
130,116.06890666666666,0.1660642184981402,0.8055697870368214,0.5534516397165078,0.6467521144668268,0.7004438033314021,0.04014021125074467
140,124.06890666666666,0.1874707559632041,0.8330348723486511,0.5840188370816665,0.678184912195871,0.731769836795424,0.046286393326647995
150,132.06890666666666,0.20484302727260445,0.8531027665831458,0.6107106089150627,0.7047581962530252,0.7575873763061021,0.05155636286017473
160,140.06890666666666,0.205,0.8671630886950789,0.6333453141272586,0.7265527800822487,0.7781710623382038,0.054205133978663916
180,156.06890666666666,0.205,0.8831023308694218,0.667237281840856,0.7576601510361931,0.8063066145284731,0.05741008464238965
