model,reference_raw,slope,d_total_140_150,d_total_110_120,d_total_70_80,speed150_sb_success,speed150_sb_attempts_600PA,speed150_f2t,speed150_s2h,speed150_dp_avoid,overpowered
A_keep_raw_scale,98.10803333333332,0.4,0.0017093661166925345,0.006624894023480248,0.0055399275235498355,0.837392574756659,19.43517877260134,0.5718097352292981,0.6657496755290202,0.7194662463063939,False
A_keep_raw_scale,98.10803333333332,0.6,0.0033809308626117987,0.008330522809210827,0.001118441457740614,0.8660563515310049,23.350482394014303,0.6078042479392276,0.7019082672266506,0.7548532585866895,False
A_keep_raw_scale,98.10803333333332,0.8,0.005319694677597402,0.007175298418780916,0.008677220594171628,0.884405208038094,25.787795752558633,0.6370074255429654,0.7300079658297414,0.7813758125292285,False
A_keep_raw_scale,98.10803333333332,1.0,0.0010553321566542928,0.005104216148488945,0.004493829066060481,0.895457329058472,26.955984278749444,0.6597327206114998,0.7509515641734112,0.80038933944917,False
A_keep_raw_scale,98.10803333333332,1.2,-0.002188284577326935,0.005572152930936547,0.0039521140698055846,0.9019292510558986,27.729060389524673,0.6768497348308916,0.7660805151490608,0.8135892273704061,False
B_prime_110_recenter,110.0,0.4,0.002199033134067087,0.001124597697877764,0.0007575181073790939,0.8199399091733438,17.28656912553947,0.5531729235712044,0.6464610628664078,0.7001504608876026,False
B_prime_110_recenter,110.0,0.6,0.00690205468679711,0.007136596550029017,0.00565497177774002,0.8476676945945468,21.169218993860085,0.5837715588408621,0.6779347168148109,0.7315235657904566,False
B_prime_110_recenter,110.0,0.8,0.00408375020894939,0.007612856696297625,0.00012283400676638134,0.8679274080480552,23.85981324411986,0.6104980284038725,0.7045501221158592,0.7573880654619242,False
B_prime_110_recenter,110.0,1.0,0.0007708289674639573,0.012743816539842301,0.004338228763263719,0.8822611889494147,25.40425589732058,0.6331674525110023,0.7263844393660386,0.7780144805484988,False
B_prime_110_recenter,110.0,1.2,0.0027696971662993716,0.013815637164598472,0.0029862566827365353,0.8919741244612663,26.705086550052503,0.6519220976769786,0.7438549249822455,0.7940321678523297,False
