diagnostic,AVG,OBP,SLG,OPS,BB%,K%,HR%,HardContact%
stuff,-0.018389835639734314,-0.016566666666666674,-0.03630465058671872,-0.05287131725338545,0.00045000000000000595,0.000586666666666652,-0.004506666666666666,-0.01863806839255218
control,0.005201116848523479,0.0037133333333332907,0.009146782903636574,0.01286011623696992,-0.0014566666666666617,-0.0011899999999999966,0.0008699999999999992,0.00275615963420274
breaking,-0.015866511799317057,-0.014046666666666707,-0.026809772403271592,-0.0408564390699383,0.000716666666666671,0.004133333333333322,-0.0024633333333333347,-0.010661788156907243
velocity_plus_3kmh,-0.007973356634180584,,-0.012528683074167324,,0.0005766666666666698,0.0033366666666666545,-0.0009366666666666655,
velocity_plus_5kmh,-0.012655127017469181,,-0.019935918830270016,,0.0005700000000000011,0.005110000000000003,-0.0014933333333333326,
velocity_plus_8kmh,-0.02129958212182767,,-0.0330473594891918,,0.0006700000000000039,0.008750000000000008,-0.0023500000000000014,
