rank,loss,passed,w_control_zone,w_stuff_quality,w_stuff_contact,w_breaking_contact,w_breaking_quality,AVG,OBP,SLG,BB%,K%,HR%
1,3.649614676387847,False,0.7250417401045524,0.5925985469092584,0.21753922190170344,0.6995581820155009,0.5671943694776231,0.20705107015972385,0.2539754,0.3111569459269902,0.059177,0.249119,0.0210504
2,3.754006704033599,False,0.6611739954334319,0.3185035377082292,0.21343686937911746,0.6550832032965865,0.5887751531111869,0.2053418692587452,0.2521944,0.3070596888842713,0.058959399999999995,0.248867,0.0204438
3,3.8432565389824047,False,0.7355230435113507,0.6914326086242771,0.09395410400636056,0.516545277078837,0.4665216778568392,0.20350408181227167,0.25088140000000003,0.30491890818570794,0.0594822,0.2503346,0.020494000000000002
