age,stat,before_mean,before_sd,after_mean,after_sd,mean_delta,sd_delta,after_p10,after_p25,after_p50,after_p75,after_p90,after_p95,after_p99
18,velocity,80.83483333333334,9.91017759539264,80.83483333333334,9.91017759539264,0.0,0.0,69.0,74.0,80.0,88.0,95.0,99.0,104.0
18,stuff,80.33743333333334,13.200168133230559,80.33743333333334,13.200168133230559,0.0,0.0,63.0,71.0,80.0,89.0,97.0,102.0,111.0
18,control,75.85126666666666,15.356723122535687,75.85126666666666,15.356723122535687,0.0,0.0,56.0,65.0,76.0,86.0,96.0,101.0,111.0
18,breaking,78.84856666666667,14.424094469979352,78.84856666666667,14.424094469979352,0.0,0.0,60.0,69.0,79.0,89.0,97.0,103.0,113.0
18,physical_velocity_kmh,141.50893077390302,2.7122261909600973,141.50893077390302,2.7122261909600973,0.0,0.0,138.31060606060606,139.62332695984705,141.2321083172147,143.4361493123772,145.4223107569721,146.5776892430279,148.00197238658777
20,velocity,85.1792,10.17116286501532,85.1792,10.17116286501532,0.0,0.0,73.0,78.0,84.0,92.0,99.0,103.0,110.0
20,stuff,84.39443333333334,13.97517044662505,87.4014,13.968970781939042,3.0069666666666564,-0.006199664686008077,69.0,78.0,87.0,97.0,105.0,110.0,120.0
20,control,79.1853,16.04168415649263,83.0835,16.04098691113902,3.8982000000000028,-0.0006972453536100431,63.0,72.0,83.0,94.0,104.0,110.0,120.0
20,breaking,82.79246666666667,15.151527862965576,85.8956,15.143457354250383,3.103133333333332,-0.008070508715192659,67.0,76.0,86.0,96.0,105.0,111.0,122.0
20,physical_velocity_kmh,142.6997670431786,2.8183665903491972,142.6997670431786,2.8183665903491972,0.0,0.0,139.3587786259542,140.6917148362235,142.32553606237818,144.56435643564356,146.5776892430279,147.7193675889328,149.67446393762182
22,velocity,89.5336,10.494605171547269,89.5336,10.494605171547269,0.0,0.0,77.0,82.0,89.0,97.0,104.0,108.0,115.0
22,stuff,88.4507,14.71468550496408,94.4548,14.70203694368006,6.004100000000008,-0.012648561284020587,76.0,84.0,94.0,104.0,113.0,118.0,128.0099999999984
22,control,82.50876666666667,16.693173948620103,90.30486666666667,16.684047959519763,7.796099999999996,-0.009125989100340348,69.0,79.0,90.0,102.0,112.0,118.0,129.0
22,breaking,86.71803333333334,15.858299450620661,92.91573333333334,15.849322776138488,6.1976999999999975,-0.008976674482173763,73.0,82.0,93.0,104.0,113.0,119.0,130.0
22,physical_velocity_kmh,143.90709412584079,2.9328009866802973,143.90709412584079,2.9328009866802973,0.0,0.0,140.42307692307693,141.7766990291262,143.71653543307087,146.0,148.00197238658777,149.12133072407045,151.03861003861005
24,velocity,92.4875,10.840490936761121,92.4875,10.840490936761121,0.0,0.0,79.0,85.0,92.0,100.0,107.0,111.0,119.0
24,stuff,91.6956,15.438715640881531,100.68906666666666,15.413844008841172,8.993466666666663,-0.024871632040358804,81.0,90.0,101.0,111.0,120.0,126.0,136.0
24,control,86.19233333333334,17.34854099212829,97.87563333333334,17.32397470556018,11.683300000000003,-0.024566286568109774,76.0,86.0,98.0,110.0,120.0,126.0,138.0
24,breaking,90.13013333333333,16.521400222606907,99.41513333333333,16.495837787622534,9.284999999999997,-0.025562434984372828,78.0,88.0,99.0,110.0,121.0,127.0,138.0
24,physical_velocity_kmh,144.73210056469938,3.0379071589360613,144.73210056469938,3.0379071589360613,0.0,0.0,140.96138996138995,142.6015625,144.56435643564356,146.8648111332008,148.84313725490196,149.94941634241246,152.11111111111111
26,velocity,94.2833,11.23252603424537,94.2833,11.23252603424537,0.0,0.0,80.0,86.0,94.0,102.0,109.0,114.0,122.0
26,stuff,94.23483333333333,16.16147126054913,106.2008,16.112887575685082,11.965966666666674,-0.04858368486404885,85.0,95.0,106.0,117.0,127.0,133.0,143.0
26,control,89.07446666666667,18.02844570992063,104.6324,17.980407955327376,15.557933333333338,-0.04803775459325266,82.0,93.0,105.0,117.0,128.0,134.0,146.0
26,breaking,92.95606666666667,17.229262023146035,105.3257,17.181253917472574,12.369633333333326,-0.04800810567346048,83.0,94.0,105.0,117.0,127.0,134.0,145.0
26,physical_velocity_kmh,145.23504026793574,3.1472868568543615,145.23504026793574,3.1472868568543615,0.0,0.0,141.2321083172147,142.87866927592955,145.1351888667992,147.43564356435644,149.3984375,150.7678916827853,152.9047619047619
28,velocity,95.72646666666667,11.664040731334156,95.72646666666667,11.664040731334156,0.0,0.0,81.0,87.0,95.0,104.0,111.0,116.0,124.0
28,stuff,96.78976666666667,16.89414401340167,110.31636666666667,16.818874678930083,13.526600000000002,-0.07526933447158868,89.0,99.0,110.0,122.0,132.0,138.0,149.0
28,control,91.8863,18.666775448462793,109.89926666666666,18.586553906759825,18.012966666666657,-0.08022154170296858,86.0,97.0,110.0,122.0,134.0,140.0,153.0
28,breaking,95.77516666666666,17.917533776691727,109.80273333333334,17.84474766410429,14.027566666666672,-0.07278611258743695,87.0,98.0,110.0,122.0,133.0,139.0,151.0
28,physical_velocity_kmh,145.63906640297338,3.264447619155949,145.63906640297338,3.264447619155949,0.0,0.0,141.50387596899225,143.15686274509804,145.4223107569721,148.00197238658777,149.94941634241246,151.3082851637765,153.42884250474384
30,velocity,94.47783333333334,12.135168257543398,94.47783333333334,12.135168257543398,0.0,0.0,79.0,86.0,94.0,103.0,110.0,115.0,124.0
30,stuff,96.67053333333334,17.600474947632016,110.1516,17.496872599791466,13.481066666666663,-0.10360234784054967,88.0,98.0,110.0,122.0,133.0,139.0,151.0
30,control,92.35086666666666,19.32672655285651,110.3059,19.207185943200184,17.955033333333333,-0.11954060965632607,86.0,97.0,110.0,123.0,135.0,141.04999999999927,155.0
30,breaking,95.9484,18.642877212848163,109.9283,18.53302527318912,13.979899999999986,-0.10985193965904116,86.0,97.0,110.0,122.0,134.0,141.0,153.0
30,physical_velocity_kmh,145.29103654732023,3.389650684587833,145.29103654732023,3.389650684587833,0.0,0.0,140.96138996138995,142.87866927592955,145.1351888667992,147.7193675889328,149.67446393762182,151.03861003861005,153.42884250474384
32,velocity,93.19833333333334,12.648159176558286,93.19833333333334,12.648159176558286,0.0,0.0,77.0,84.0,93.0,102.0,110.0,115.0,124.0
32,stuff,96.49513333333333,18.352023766210515,109.92953333333334,18.226573122291043,13.43440000000001,-0.12545064391947136,87.0,98.0,110.0,122.0,133.0,140.0,152.0
32,control,92.74933333333334,19.997882376780687,110.64663333333333,19.839189297924673,17.897299999999987,-0.15869307885601458,85.0,97.0,111.0,124.0,136.0,143.0,157.0
