profile,AVG,OBP,SLG,OPS,BB,K,HR,BABIP
Average,0.2693056898829876,0.3294875,0.4299219463023253,0.7594094463023253,0.0823625,0.2101875,0.028425,0.32207945215566436
Contact Specialist,0.2837534518643468,0.34185,0.4435934758063419,0.7854434758063419,0.0811125,0.1993625,0.02735,0.33717990392603026
Power Hitter,0.2788717187394561,0.3321,0.46275727107092246,0.7948572710709225,0.0738125,0.2219,0.03555,0.3330716461989944
Discipline Specialist,0.2766688251358428,0.3577,0.436822545679777,0.7945225456797771,0.112025,0.1830375,0.027275,0.32228432294837034
Balanced Star,0.3173777747043773,0.3830375,0.5420233732107047,0.9250608732107046,0.0961875,0.188325,0.038475,0.36686914938793597
Tool Monster,0.3555157553030727,0.42425,0.6247551351653887,1.0490051351653888,0.10665,0.1746875,0.0461,0.4036799553944801
Weak Prospect,0.19043823642715765,0.2382125,0.27012845547895165,0.5083409554789516,0.0590125,0.248475,0.0159875,0.24125124718229185
