archetype,AVG,OBP,SLG,OPS,BB%,K%,HR%,1B%,2B%,3B%,BABIP,HardContact%
power_pitcher,0.22980302909119993,0.29381666666666667,0.3420888077770426,0.6359054744437093,0.08311333333333333,0.22251333333333334,0.021996666666666668,0.15335333333333334,0.033743333333333334,0.00161,0.28065617981984303,0.06950151695533623
command_starter,0.2662390721150022,0.32350666666666666,0.40862516540967364,0.7321318320763404,0.07804666666666667,0.21264666666666668,0.02886,0.17401,0.040486666666666664,0.0021033333333333334,0.31832031900614305,0.09285593443362533
breaking_specialist,0.2376999796753869,0.29988333333333334,0.3551835022211899,0.6550668355545233,0.08157333333333333,0.21883,0.02300666666666667,0.15818333333333334,0.03536,0.00176,0.28865832089350024,0.0732755540096913
stuff_specialist,0.24839369370676026,0.30905333333333335,0.36422904549871643,0.6732823788320498,0.08070666666666666,0.20767333333333332,0.02175,0.16715666666666668,0.037643333333333334,0.0017966666666666667,0.29947188117568047,0.06787798731532747
balanced_ace,0.22267269552111185,0.28484333333333334,0.3283261958073375,0.6131695291406709,0.07998,0.22242666666666666,0.02036,0.15004333333333333,0.03279666666666667,0.0016633333333333333,0.2724368755229611,0.06216133563967546
