stat,slope,gameplay_sd,dAVG,dSLG,dBB,dK,dHR
contact,0.4,7.788522581337233,0.0051624563761477615,0.0101796782952841,0.0007800000000000029,-0.0017399999999999916,0.0010599999999999984
contact,0.5,9.735653226671541,0.0085158246550196,0.015749047998787846,0.0006200000000000094,-0.0026199999999999835,0.001799999999999996
contact,0.6,11.68278387200585,0.009833802484456533,0.017986302531396103,0.0009399999999999964,-0.003060000000000007,0.001800000000000003
contact,0.75,14.603479840007312,0.01139904956205845,0.02161985331933669,-0.0001799999999999996,-0.0024199999999999777,0.00204
contact,0.9,17.524175808008774,0.013104505637801411,0.02380785968469812,-0.00136,-0.00358,0.0025400000000000006
contact,1.0,19.471306453343082,0.01399511080674487,0.02582674043393518,-0.001460000000000003,-0.0041999999999999815,0.00272
contact,1.2,23.3655677440117,0.014898297953348627,0.027614014988071256,-0.0009799999999999948,-0.005860000000000004,0.002799999999999997
power,0.4,8.567648685607972,0.005924012162293935,0.013900095559368775,-0.00020000000000000573,0.0005599999999999772,0.0019800000000000026
power,0.5,10.709560857009965,0.0065205116492138004,0.016215866089997588,0.00010000000000000286,0.0018799999999999928,0.002580000000000006
power,0.6,12.851473028411958,0.010200459320327093,0.025499295428965896,0.0004200000000000037,0.0019000000000000128,0.003700000000000002
power,0.75,16.06434128551495,0.01199030655556027,0.03318224364390043,-0.0001799999999999996,0.0007199999999999984,0.0051199999999999996
power,0.9,19.27720954261794,0.011983693419965136,0.031808532235339304,3.999999999999837e-05,-0.0004800000000000082,0.004700000000000003
power,1.0,21.41912171401993,0.01029092912377022,0.029741326805743373,-0.0007999999999999952,0.0009800000000000086,0.0044399999999999995
power,1.2,25.702946056823915,0.015399676819037422,0.039047973007829584,-0.0009200000000000041,-0.001899999999999985,0.0055600000000000024
discipline,0.4,7.867631623303166,0.0032101191442706067,0.004590313476328212,0.006860000000000005,-0.005620000000000014,0.0001799999999999996
discipline,0.5,9.834539529128957,0.0034597176541582564,0.003546977172367405,0.007120000000000001,-0.007700000000000012,-0.0005199999999999996
discipline,0.6,11.801447434954747,0.007476544327938983,0.012891421910756096,0.010779999999999998,-0.008039999999999992,0.00028000000000000247
discipline,0.75,14.751809293693436,0.011420927973723238,0.023938042885846444,0.012840000000000004,-0.01124,0.00204
discipline,0.9,17.702171152432122,0.01295600744306602,0.024084667356052525,0.014500000000000013,-0.015100000000000002,0.0020000000000000018
discipline,1.0,19.669079058257914,0.014935553000732849,0.02426317661815436,0.0174,-0.01680000000000001,0.0015999999999999973
discipline,1.2,23.602894869909495,0.014972475158033627,0.02168937914138558,0.02674,-0.018479999999999996,-0.0005999999999999964
speed,0.4,9.413070978166479,0.0011351748391835725,0.013399514768402176,0.0,0.0,0.0
speed,0.5,11.766338722708097,0.0010906581788234226,0.016293097691811087,0.0,0.0,0.0
speed,0.6,14.119606467249715,0.0010461415184632727,0.018696997351258626,0.0,0.0,0.0
speed,0.75,17.649508084062145,0.001290983150444014,0.019809913860262207,0.0,0.0,0.0
speed,0.9,21.179409700874576,0.0015135664522447079,0.015313731163888011,0.0,0.0,0.0
speed,1.0,23.532677445416194,0.0017584080842255045,0.011930464976517396,0.0,0.0,0.0
speed,1.2,28.23921293449943,0.0021367996972866954,0.006232332450419542,0.0,0.0,0.0
