defense,weak_catch,poor_catch,average_catch,solid_catch,barrel_catch
50,0.9866702212743268,0.9466121250262219,0.6101755133944433,0.19006374722838137,0.017321504013519222
70,0.9887640449438202,0.952963410152764,0.6389568919638106,0.23636864961742607,0.026239067055393587
85,0.9903407566407298,0.9556665790165658,0.6627894643804136,0.26961157654226964,0.03753127606338615
100,0.9919957310565635,0.9589424244023431,0.6854539675813116,0.3063324356052759,0.0678752107925801
115,0.9935948759007206,0.9634544497103739,0.7041768692998333,0.34553997098044636,0.08960875052587294
130,0.9952089433058291,0.9675314424038309,0.7236529809770095,0.38258774948382657,0.1099320882852292
145,0.9968152866242038,0.9709846202631996,0.7436669619131975,0.4233209212522411,0.14328105129292074
160,0.9976259562120813,0.9749722207524207,0.7628339305353532,0.4618746964545896,0.16673684210526316
