defense,AVG,OBP,SLG,OPS,BABIP,1B%,2B%,3B%,HR%,OUT%,ERROR%,ROE%,offensive_value
50,0.30194565217391306,0.35779,0.452945652173913,0.8107356521739131,0.36942919544300806,0.19613,0.05185,0.00236,0.02745,0.632,0.01021,0.01021,0.36422039999999994
70,0.2863742594706234,0.3435,0.4340779390184249,0.777577939018425,0.34808485562757807,0.18426,0.04967,0.00235,0.02717,0.64748,0.00902,0.00902,0.34948480000000004
85,0.27422528015999825,0.33228,0.4185497983717568,0.7508297983717569,0.331157541109212,0.17677,0.0458,0.00218,0.02754,0.65973,0.00799,0.00799,0.337643
100,0.26115127466434745,0.32037,0.3987932815132902,0.7191632815132902,0.3131418804426304,0.1709,0.03973,0.00189,0.0277,0.67244,0.00719,0.00719,0.3241264
115,0.24849553284798626,0.30942,0.3795392467326129,0.6889592467326129,0.29615146238526696,0.1649,0.03414,0.00165,0.02766,0.68437,0.00621,0.00621,0.3111631
130,0.23655305913826477,0.29798,0.36109359027339755,0.6590735902733975,0.27973480662983424,0.15975,0.02867,0.00145,0.02765,0.69685,0.00517,0.00517,0.29813880000000004
145,0.22374116367591082,0.28623,0.34367591082109844,0.6299059108210985,0.26223533751383254,0.15268,0.02382,0.00123,0.028,0.7097,0.00407,0.00407,0.2853232
160,0.21104757349104192,0.27429,0.3262523917202992,0.6005423917202992,0.2451488952929875,0.14562,0.0193,0.00096,0.02825,0.72257,0.00314,0.00314,0.2725014
