name,team,contact,power,discipline,speed,input_rating_source,approach,handedness_assumption,opponent_defense,pa,seed,target_avg,target_obp,target_slg,target_ops,target_hr_rate,target_bb_rate,target_k_rate,h31_avg,h31_obp,h31_slg,h31_ops,h31_hr_rate,h31_bb_rate,h31_k_rate,h31_babip,h31_1b_rate,h31_2b_rate,h31_3b_rate,h31_offensive_value,runtime_s,err_avg,err_obp,err_slg,err_ops,err_hr_rate,err_bb_rate,err_k_rate,validation_fit_error,validation_fit_status
박성한,SSG 랜더스,130,88,141,62,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026090500,0.3350,0.4300,0.4300,0.8600,0.007547,0.141509,0.137736,0.33258541360744004,0.4318633333333333,0.4783201174743025,0.9101834508076359,0.03037,0.14875,0.13418166666666667,0.3680558420849524,0.22018,0.03218,0.00038333333333333334,0.40804913333333337,21.39360378800029,0.002414586392559981,0.001863333333333328,0.04832011747430248,0.050183450807635865,0.022823000000000003,0.0072409999999999974,0.003554333333333326,0.806435871811606,good
박해민,LG 트윈스,127,68,114,133,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026091509,0.2830,0.3690,0.3560,0.7250,0.008368,0.098326,0.110879,0.2721388011449427,0.34521,0.429366483562291,0.774576483562291,0.019796666666666667,0.10039166666666667,0.17537333333333333,0.3194341591291407,0.146655,0.07468,0.0036866666666666667,0.3471113666666667,21.14650789300049,0.010861198855057264,0.023789999999999978,0.07336648356229103,0.04957648356229105,0.011428666666666667,0.002065666666666674,0.06449433333333332,1.5434873033652157,usable
오스틴,LG 트윈스,117,116,118,60,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026092518,0.3410,0.4270,0.6630,1.0900,0.068053,0.117202,0.143667,0.33250120055085197,0.40462333333333333,0.5115635936924834,0.9161869270258167,0.041305,0.10804833333333333,0.17439,0.37747502181124526,0.219905,0.03493,0.000435,0.4061957666666667,21.581372366999858,0.008498799449148053,0.022376666666666656,0.15143640630751665,0.17381307297418336,0.026748,0.009153666666666671,0.030723,1.9879065104026632,usable
최지훈,SSG 랜더스,110,96,97,170,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026093527,0.2460,0.3010,0.4040,0.7050,0.024490,0.069388,0.155102,0.2785157461292719,0.3330166666666667,0.46128731006930174,0.7943039767359684,0.0279,0.07554,0.20912833333333333,0.3339628908570306,0.14912333333333333,0.07564166666666666,0.004811666666666666,0.35176635,21.15639218100023,0.03251574612927188,0.03201666666666669,0.05728731006930171,0.08930397673596846,0.00341,0.006151999999999991,0.05402633333333334,1.610697975895438,usable
정준재,SSG 랜더스,119,79,107,88,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026094536,0.2740,0.3480,0.3420,0.6900,0.001996,0.093812,0.143713,0.264990760970089,0.3310766666666667,0.3782453351597739,0.7093220018264406,0.022048333333333333,0.08991166666666667,0.18964666666666666,0.31374392653614486,0.182855,0.035596666666666665,0.000665,0.32219190000000003,20.79927848600073,0.00900923902991102,0.01692333333333329,0.03624533515977385,0.019322001826440616,0.02005233333333333,0.003900333333333339,0.04593366666666665,1.2498258141829395,usable
디아즈,삼성 라이온즈,112,102,115,77,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026095545,0.2990,0.3770,0.4980,0.8750,0.040000,0.112381,0.167619,0.29958907906461074,0.3724633333333333,0.45194234085417234,0.8244056741875057,0.03292666666666667,0.104045,0.18113166666666666,0.345348024382971,0.19823833333333332,0.036785,0.00046833333333333335,0.36918365000000003,20.76583343099992,0.0005890790646107535,0.004536666666666689,0.046057659145827656,0.050594325812494345,0.007073333333333334,0.008335999999999996,0.013512666666666673,0.6359452811576808,good
레이예스,롯데 자이언츠,158,97,101,60,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026096554,0.3550,0.4070,0.5220,0.9290,0.027559,0.080709,0.112205,0.33659984695566597,0.3888083333333333,0.4999791961011685,0.8887875294345018,0.03789,0.07869833333333333,0.18120833333333333,0.3876654910021314,0.23575333333333334,0.036081666666666665,0.000385,0.39427806666666665,20.229026936000082,0.01840015304433401,0.01819166666666666,0.022020803898831542,0.04021247056549826,0.010331,0.0020106666666666745,0.06900333333333333,1.298465425856479,usable
김도영,KIA 타이거즈,99,118,135,95,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026097563,0.3020,0.4050,0.6330,1.0380,0.076023,0.140351,0.167641,0.32674707405026787,0.4221683333333333,0.5168605001155427,0.9390288334488761,0.03811666666666667,0.14173166666666667,0.156815,0.3653046969613218,0.19516166666666668,0.045498333333333335,0.00166,0.41617315,21.002870567000173,0.02474707405026788,0.017168333333333285,0.11613949988445726,0.09897116655112392,0.03790633333333333,0.001380666666666669,0.010826000000000002,1.8482758221388496,usable
박찬호,두산 베어스,130,77,108,99,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026098572,0.2930,0.3610,0.3870,0.7480,0.009881,0.094862,0.138340,0.2782974742750234,0.344225,0.404042627340927,0.748267627340927,0.023306666666666667,0.09135,0.18240833333333334,0.3265854358273999,0.18702,0.040758333333333334,0.00179,0.3377271833333334,20.784073808999892,0.0147025257249766,0.016774999999999984,0.017042627340926986,0.00026762734092700136,0.013425666666666667,0.0035120000000000012,0.04406833333333335,1.0744509932826676,usable
페라자,한화 이글스,99,107,158,102,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026099581,0.2890,0.4090,0.5050,0.9140,0.040900,0.165644,0.192229,0.3257691995493988,0.43240666666666666,0.5142238315749461,0.9466304982416127,0.034326666666666665,0.15816166666666667,0.13400666666666666,0.35622353706851967,0.18671,0.05074833333333333,0.00246,0.4200857,20.924544261999472,0.036769199549398834,0.023406666666666687,0.009223831574946106,0.03263049824161268,0.006573333333333334,0.007482333333333341,0.05822233333333335,1.3977429481874661,usable
정수빈,두산 베어스,114,88,110,115,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026100590,0.2590,0.3390,0.3620,0.7010,0.015590,0.097996,0.151448,0.2789681786958035,0.347465,0.4560599335912825,0.8035249335912825,0.025786666666666666,0.09499833333333334,0.18720666666666666,0.3275683096301827,0.14683166666666667,0.07678833333333333,0.00306,0.35761125000000005,20.577922489999764,0.019968178695803473,0.008465,0.09405993359128251,0.10252493359128256,0.010196666666666666,0.0029976666666666624,0.03575866666666666,1.3397201350901264,usable
김호령,KIA 타이거즈,98,101,95,128,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026101599,0.2740,0.3170,0.4270,0.7440,0.026915,0.057971,0.262940,0.2600151906206916,0.31476666666666664,0.4332170638905987,0.7479837305572654,0.026981666666666668,0.07399,0.21965833333333334,0.3146959683235939,0.13773166666666667,0.072685,0.0033783333333333334,0.3327651333333333,19.94714442700024,0.013984809379308405,0.002233333333333365,0.0062170638905987285,0.003983730557265419,6.666666666666626e-05,0.016019,0.04328166666666666,0.7545213850882347,good
구본혁,LG 트윈스,124,62,99,57,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026102608,0.2850,0.3430,0.3130,0.6560,0.000000,0.071918,0.123288,0.23553669679967879,0.29557,0.3115999435684287,0.6071699435684287,0.016448333333333332,0.07853,0.19755166666666665,0.28353381297675756,0.180075,0.020288333333333332,0.00022833333333333334,0.2801607,20.08727095500035,0.04946330320032119,0.04743000000000003,0.001400056431571317,0.048830056431571345,0.016448333333333332,0.006612000000000007,0.07426366666666666,2.050839793512299,poor
신민재,LG 트윈스,114,58,110,92,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026103617,0.2590,0.3410,0.2800,0.6210,0.000000,0.102632,0.128947,0.22794449572810202,0.3016333333333333,0.311799724726523,0.6134330580598564,0.014528333333333334,0.095445,0.18744166666666667,0.2727926158400763,0.16030833333333333,0.030436666666666667,0.000915,0.28420850000000003,20.65074347599966,0.031055504271897988,0.039366666666666716,0.03179972472652298,0.007566941940143623,0.014528333333333334,0.007186999999999999,0.05849466666666667,1.7685837033536245,usable
문현빈,한화 이글스,124,97,113,89,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026104626,0.2980,0.3800,0.4650,0.8450,0.025243,0.106796,0.126214,0.3082497450240353,0.37714,0.4667050441742388,0.8438450441742388,0.03263666666666667,0.09958833333333333,0.17764,0.3548798423496852,0.20112166666666667,0.04282166666666667,0.0009716666666666667,0.3765255166666667,20.43184622100034,0.010249745024035306,0.002860000000000029,0.001705044174238779,0.0011549558257611947,0.0073936666666666664,0.007207666666666668,0.051426,0.7869992641980154,good
김지찬,삼성 라이온즈,149,57,129,98,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026105635,0.3330,0.4260,0.3810,0.8070,0.000000,0.128319,0.075221,0.2908323929486398,0.3799416666666667,0.4066750792973039,0.7866167459639706,0.018845,0.12565333333333334,0.14397333333333334,0.3308980434135909,0.19246,0.041215,0.0017683333333333333,0.3575977833333334,20.35763359199973,0.042167607051360245,0.04605833333333331,0.025675079297303893,0.020383254036029474,0.018845,0.0026656666666666495,0.06875233333333335,2.0395655188890243,poor
힐리어드,KT 위즈,86,119,102,89,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026106644,0.2970,0.3650,0.5590,0.9240,0.061876,0.097804,0.285429,0.26375751345952664,0.32672833333333334,0.4114113457339588,0.7381396790672922,0.032286666666666665,0.08553,0.21992666666666666,0.3154542297296617,0.17168333333333333,0.036291666666666667,0.0009366666666666667,0.33171068333333337,20.37655655299932,0.03324248654047335,0.03827166666666665,0.14758865426604123,0.18586032093270788,0.029589333333333336,0.012274000000000007,0.06550233333333333,2.7899247815573402,poor
전민재,롯데 자이언츠,108,94,93,71,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026107653,0.2720,0.3210,0.3840,0.7050,0.019560,0.061125,0.200489,0.2576311481729171,0.30991,0.3749190941412504,0.6848290941412505,0.026186666666666667,0.07042166666666666,0.21514833333333333,0.3099218784054089,0.18316333333333334,0.029808333333333333,0.00033,0.30969583333333334,19.818627182000455,0.014368851827082918,0.011089999999999989,0.0090809058587496,0.020170905858749477,0.006626666666666666,0.009296666666666661,0.01465933333333333,0.6692274602569374,good
양의지,두산 베어스,118,101,113,76,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026108662,0.2610,0.3670,0.4540,0.8210,0.041215,0.112798,0.112798,0.30685442842077365,0.37669,0.46088121746125005,0.8375712174612501,0.03338666666666667,0.10075166666666667,0.179785,0.35353434747331447,0.204665,0.037425,0.00046166666666666665,0.37444448333333336,20.06095167300009,0.04585442842077364,0.009690000000000032,0.006881217461250033,0.01657121746125012,0.007828333333333333,0.012046333333333326,0.066987,1.4779346720525781,usable
류지혁,삼성 라이온즈,121,89,115,128,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026109671,0.2870,0.3740,0.3970,0.7710,0.011161,0.107143,0.145089,0.2990058955298733,0.371005,0.49234175498816807,0.863346754988168,0.028058333333333334,0.10271,0.17659666666666668,0.34684453812854776,0.154835,0.0815,0.0039016666666666666,0.38182425,20.634646425000028,0.0120058955298733,0.0029950000000000254,0.09534175498816805,0.09234675498816802,0.016897333333333334,0.004433000000000006,0.031507666666666684,1.289794700266193,usable
김현수,KT 위즈,121,87,103,68,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026110680,0.2750,0.3440,0.3920,0.7360,0.017717,0.088583,0.116142,0.2758031317958005,0.3361866666666667,0.3949328329442226,0.7311194996108893,0.026181666666666666,0.08338,0.19410333333333332,0.3254539840737576,0.19633833333333334,0.029921666666666666,0.000365,0.3305856333333333,20.23966547300006,0.0008031317958004935,0.007813333333333283,0.0029328329442225853,0.004880500389110698,0.008464666666666665,0.005202999999999999,0.07796133333333333,0.9605986844582785,good
나성범,KIA 타이거즈,90,118,103,68,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026111689,0.3020,0.3800,0.5520,0.9320,0.056156,0.103672,0.267819,0.2700543339532509,0.33275666666666665,0.41316230901068446,0.7459189756773511,0.03315333333333333,0.0859,0.215235,0.321014853778037,0.18274166666666666,0.030568333333333333,0.0003933333333333333,0.33553506666666666,20.821719013999427,0.03194566604674909,0.04724333333333336,0.1388376909893156,0.18608102432264895,0.023002666666666664,0.017771999999999996,0.052583999999999964,2.6702427208304464,poor
김건희,키움 히어로즈,100,97,100,68,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026112698,0.2740,0.3270,0.4060,0.7330,0.020725,0.072539,0.259067,0.25406445458782395,0.3144516666666667,0.36937255520676354,0.6838242218734303,0.025898333333333332,0.080955,0.21249166666666666,0.3049978819421489,0.17963666666666667,0.027645,0.00031666666666666665,0.3104867333333333,19.75956028500059,0.01993554541217607,0.012548333333333328,0.036627444793236485,0.0491757781265697,0.005173333333333332,0.008415999999999993,0.04657533333333333,1.1322789015791959,usable
최형우,삼성 라이온즈,120,99,154,62,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026113707,0.3220,0.4120,0.4950,0.9070,0.032922,0.131687,0.166667,0.3448190225403858,0.44598333333333334,0.5095219136070136,0.9555052469403469,0.034686666666666664,0.15440666666666666,0.12730333333333332,0.3757881032372575,0.2221,0.034368333333333334,0.00042166666666666665,0.4255253166666667,21.039301576999605,0.022819022540385814,0.033983333333333365,0.014521913607013603,0.04850524694034686,0.0017646666666666644,0.022719666666666666,0.039363666666666686,1.3216969927099185,usable
박재현,KIA 타이거즈,108,101,95,142,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026114716,0.2910,0.3300,0.4660,0.7960,0.032468,0.054113,0.192641,0.2789501809133289,0.3320783333333333,0.46762002263440755,0.7996983559677409,0.029713333333333335,0.07368166666666667,0.21263833333333335,0.33434865246844386,0.147325,0.07708833333333333,0.00427,0.35368168333333333,20.670960501999616,0.012049819086671076,0.002078333333333293,0.0016200226344075253,0.0036983559677408184,0.002754666666666662,0.01956866666666667,0.01999733333333334,0.5959647822652755,good
오지환,LG 트윈스,98,97,103,90,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026115725,0.2320,0.3160,0.3580,0.6740,0.023499,0.096606,0.211488,0.25475176426440105,0.318155,0.37967297806373573,0.6978279780637358,0.025985,0.08507666666666666,0.2098,0.30493542061877427,0.171645,0.03455833333333334,0.00089,0.31609833333333337,19.788436961000116,0.022751764264401036,0.002155000000000018,0.02167297806373575,0.02382797806373571,0.002486000000000002,0.011529333333333336,0.0016880000000000228,0.5807509625511366,good
김주원,NC 다이노스,119,98,103,113,kbo_2026_real_hitter_ratings_v3.csv,balanced,R,100,600000,2026116734,0.2970,0.3780,0.4600,0.8380,0.033730,0.085317,0.130952,0.2952962796675022,0.35385833333333333,0.48765312039320974,0.8415114537265431,0.031061666666666668,0.08310166666666667,0.19531333333333334,0.3471207827879338,0.15966833333333333,0.07686666666666667,0.00316,0.371864,20.277302106000207,0.0017037203324977712,0.024141666666666672,0.027653120393209718,0.0035114537265431567,0.002668333333333335,0.002215333333333333,0.06436133333333333,1.0462308947678072,usable
