stat,base_batting_value,new_batting_value,delta_batting_value,base_baserunning_value,new_baserunning_value,delta_baserunning_value,base_total_value,new_total_value,delta_total_value,base_SB_per_600,new_SB_per_600,base_CS_per_600,new_CS_per_600
contact,0.3241264,0.34283480000000005,0.01870840000000007,0.0011398000000000007,0.0011352000000000005,-4.60000000000022e-06,0.3252662,0.34397000000000005,0.018703800000000048,11.496,11.898,3.846,4.0440000000000005
power,0.3241264,0.3430564000000001,0.018930000000000113,0.0011398000000000007,0.0011526000000000006,1.2799999999999877e-05,0.3252662,0.3442090000000001,0.018942800000000093,11.496,11.736,3.846,3.942
discipline,0.3241264,0.3396817,0.015555299999999994,0.0011398000000000007,0.0012,6.0199999999999186e-05,0.3252662,0.34088169999999995,0.015615499999999949,11.496,12.294,3.846,4.14
speed,0.3241264,0.3364398,0.01231340000000003,0.0011398000000000007,0.0024046000000000002,0.0012647999999999995,0.3252662,0.3388444,0.013578199999999985,11.496,14.988,3.846,3.702
